"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","should display error message with invalid credentials","","Sun Jan 19 15:21:03 WIB 2025","passed","Sun Jan 19 15:21:03 WIB 2025","","Saucedemo Login Tests","",""
"","1248","should login with valid credentials","","Sun Jan 19 15:21:02 WIB 2025","passed","Sun Jan 19 15:21:03 WIB 2025","","Saucedemo Login Tests","",""
"","1025","should login with valid credentials","","Sun Jan 19 15:21:03 WIB 2025","passed","Sun Jan 19 15:21:04 WIB 2025","","Saucedemo Login Tests","",""
"","308","should display error message with invalid credentials","","Sun Jan 19 15:21:04 WIB 2025","passed","Sun Jan 19 15:21:04 WIB 2025","","Saucedemo Login Tests","",""
